context,model,Norm_Gini_mean,Norm_Gini_std,RevCapture_10_mean,RevCapture_10_std,Precision_10_mean,Precision_10_std,Spearman_mean,Spearman_std,MAE_mean,MAE_std
Online Retail II (W1-W3),Hurdle,0.8251,0.0501,59.0367,9.4664,0.5769,0.0508,0.5482,0.0641,437.85,237.27
Online Retail II (W1-W3),Monetary,0.8221,0.0575,60.0167,8.4043,0.5859,0.0797,0.5348,0.0653,1648.62,144.5704
Online Retail II (W1-W3),RandomForest,0.8053,0.0432,56.8833,7.2026,0.5584,0.0614,0.559,0.0512,437.15,261.5428
Online Retail II (W1-W3),Ridge,0.8049,0.0382,56.1933,8.2342,0.5469,0.0684,0.578,0.0661,660.9233,364.725
Online Retail II (W1-W3),XGBoost,0.802,0.0442,56.8067,8.8179,0.5397,0.054,0.5451,0.0614,427.5433,245.7678
Online Retail II (W1-W3),RFM_score,0.7987,0.0591,59.4767,9.5551,0.5845,0.0447,0.546,0.0659,574.4167,362.5914
Online Retail II (W1-W3),LightGBM,0.7986,0.0518,57.17,9.8501,0.5474,0.0619,0.5416,0.0634,452.1667,224.5152
Online Retail II (W1-W3),Mean,0.0782,0.0569,8.1633,2.2106,0.1168,0.0095,0.0,0.0,765.48,442.0149
Dunnhumby (D1-D4),RandomForest,0.8616,0.0124,34.2975,0.6226,0.7233,0.0601,0.818,0.0154,152.575,27.3473
Dunnhumby (D1-D4),Ridge,0.8579,0.0088,34.28,0.452,0.7033,0.0546,0.8145,0.0167,278.94,196.4847
Dunnhumby (D1-D4),Hurdle,0.8552,0.0143,34.28,0.4573,0.7136,0.034,0.804,0.0187,156.8125,31.8059
Dunnhumby (D1-D4),XGBoost,0.8542,0.0139,34.235,0.9229,0.7385,0.048,0.8081,0.016,155.7875,27.6378
Dunnhumby (D1-D4),LightGBM,0.8486,0.0086,34.27,0.7777,0.7233,0.0504,0.8017,0.0108,161.8975,30.1254
Dunnhumby (D1-D4),Monetary,0.8246,0.0103,32.35,0.7124,0.658,0.0512,0.7746,0.0116,959.4025,731.5258
Dunnhumby (D1-D4),RFM_score,0.7988,0.0125,30.72,1.0406,0.5826,0.0448,0.762,0.012,400.88,102.9754
Dunnhumby (D1-D4),Mean,-0.0124,0.0316,10.7225,1.8666,0.1257,0.0115,0.0,0.0,346.925,77.7329
