feature,mean_abs_shap_norm
seq_active_periods,0.10587228154557801
recency_days,0.10286407149904496
seq_spend_recent_half,0.08926802728170377
monetary,0.04621149961444255
avg_days_between_orders,0.038022759353351684
tenure_days,0.034050247481592404
sem_taste_drift,0.031558406913650104
frequency,0.02732730475966687
seq_spend_last_period,0.026280850423651327
sem_emb_3,0.02466103890539794
regularity,0.02341435266964468
sem_emb_1,0.02115395608376643
sem_emb_8,0.020113443073821416
sem_emb_30,0.019870331807772736
sem_emb_2,0.019547769104539852
product_diversity,0.01914204327668377
sem_emb_28,0.016417182167278273
sem_emb_18,0.015560596536559073
sem_emb_5,0.014807405872558377
seq_spend_slope,0.013800755047931192
sem_emb_9,0.01376338452238145
sem_emb_17,0.01374468872444292
sem_emb_20,0.013183762615347884
sem_emb_29,0.012297762256113037
sem_emb_12,0.012142711670115386
sem_emb_19,0.01206038071927416
sem_emb_14,0.011839897661592576
sem_emb_11,0.011543927608029723
sem_emb_22,0.011518210628668965
sem_emb_21,0.011387479857588608
sem_emb_26,0.01105873523567349
sem_emb_7,0.01069255820022342
sem_emb_24,0.010458313049392457
sem_emb_15,0.010379258166701578
sem_emb_13,0.010265394473224158
sem_emb_4,0.009107786746253285
sem_emb_27,0.009048300303682614
sem_emb_6,0.008812353373058303
seq_orders_slope,0.008735883517756334
sem_taste_diversity,0.008633764188791105
sem_emb_16,0.008402714593127273
avg_order_value,0.007972202221322498
sem_emb_25,0.0077634666775393945
avg_basket_size,0.00689584571371317
sem_emb_31,0.006726152126397816
seq_recent_vs_older_ratio,0.006521757559068051
sem_emb_10,0.005965133462691477
sem_emb_0,0.005582819485496624
spend_per_active_day,0.005192818316741525
sem_emb_23,0.004939437423468924
active_days,0.0034187754834863063
category_diversity,0.0
recency_to_snapshot,0.0
n_baskets,0.0
log_frequency,0.0
log_monetary,0.0
