metric,value
baskets_per_hh_mean,110.59
baskets_per_hh_median,79.0
clv_window_obs_end_week,78
clv_window_pred_weeks,79-102
demographics_coverage,0.3204
n_baskets,276484
n_commodity_desc,308
n_department,44
n_hh_in_observation,2498
n_hh_with_demographics,801
n_households,2500
n_products,92339
n_sub_commodity_desc,2383
n_transaction_lines,2595732
nonzero_future_spend_mean,889.58
nonzero_future_spend_median,568.9
nonzero_future_spend_skew,2.469
pct_hh_ge_10_baskets,0.9608
pct_hh_ge_2_baskets,0.9988
pct_hh_ge_5_baskets,0.9908
product_table_rows,92353
total_sales_value,8057463.08
week_max,102
week_min,1
zero_future_spend_rate,0.03
